,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese,Age,bullied
16213,0,0,1,0,0,1,1,3,0,3,3,0,0,0,1,0,17,1
16214,0,0,0,1,0,0,0,3,0,3,4,0,0,0,0,0,17,0
16215,0,0,0,0,0,0,0,3,0,2,4,0,0,0,0,0,16,0
16216,0,0,0,0,0,0,1,3,0,2,2,0,0,0,1,0,16,0
16217,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,16,0
16219,0,0,1,1,0,0,0,3,1,3,1,0,1,0,0,0,17,1
16220,0,0,0,0,0,0,1,3,0,2,3,0,0,0,0,0,16,0
16221,0,0,0,0,0,0,2,3,0,3,0,0,0,0,0,0,17,0
16222,1,0,0,0,0,0,2,3,0,2,1,0,0,0,0,0,16,1
16223,0,1,0,1,0,0,1,2,0,1,1,0,0,0,0,0,16,1
16225,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,16,0
16226,0,0,1,1,0,0,2,3,0,3,4,0,0,0,0,0,16,1
16227,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,16,0
16229,0,0,0,0,0,1,1,3,0,4,1,0,0,0,1,0,16,0
16232,0,0,0,1,0,2,0,3,0,1,1,0,0,0,0,0,14,0
16233,0,0,0,0,0,1,0,3,0,4,4,0,0,1,0,0,14,0
16236,1,1,1,1,0,0,2,3,0,1,1,0,0,0,1,0,12,1
16239,1,0,0,0,0,7,4,1,0,2,1,1,0,0,1,0,15,1
16244,0,0,0,0,0,2,0,3,0,2,4,0,0,0,1,0,12,0
16248,1,0,0,0,2,0,0,3,0,1,3,0,0,0,0,0,12,1
